Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,1.0000E+00,1.7700E-01
3.9100E+00,9.5100E-01,3.4200E-01
5.8600E+00,8.8000E-01,4.9900E-01
7.8100E+00,7.9100E-01,6.3100E-01
9.7700E+00,6.9700E-01,7.5200E-01
1.1700E+01,5.5900E-01,8.6500E-01
1.3700E+01,4.3600E-01,9.6100E-01
1.5600E+01,2.9200E-01,1.0600E+00
1.7600E+01,1.3000E-01,1.1200E+00
1.9500E+01,-4.9800E-02,1.1900E+00
2.1500E+01,-2.2900E-01,1.2100E+00
2.3400E+01,-4.1600E-01,1.2200E+00
2.5400E+01,-5.9900E-01,1.2300E+00
2.7300E+01,-7.9600E-01,1.1900E+00
2.9300E+01,-9.6400E-01,1.1300E+00
3.1300E+01,-1.1500E+00,1.0700E+00
3.3200E+01,-1.3000E+00,9.8500E-01
3.5200E+01,-1.4600E+00,8.8200E-01
3.7100E+01,-1.6000E+00,7.4200E-01
3.9100E+01,-1.7100E+00,6.1300E-01
4.1000E+01,-1.8200E+00,4.5400E-01
4.3000E+01,-1.8800E+00,2.6300E-01
4.4900E+01,-1.9300E+00,8.8800E-02
4.6900E+01,-1.9500E+00,-1.0000E-01
4.8800E+01,-1.9600E+00,-2.9300E-01
5.0800E+01,-1.9400E+00,-5.0800E-01
5.2700E+01,-1.8700E+00,-6.9700E-01
5.4700E+01,-1.8000E+00,-8.9700E-01
5.6600E+01,-1.6600E+00,-1.0900E+00
5.8600E+01,-1.5400E+00,-1.2700E+00
6.0500E+01,-1.3800E+00,-1.4400E+00
6.2500E+01,-1.2000E+00,-1.5900E+00
6.4500E+01,-9.9600E-01,-1.7300E+00
6.6400E+01,-7.6400E-01,-1.8700E+00
6.8400E+01,-5.3300E-01,-1.9700E+00
7.0300E+01,-3.0800E-01,-2.0300E+00
7.2300E+01,-2.1600E-02,-2.0800E+00
7.4200E+01,2.3800E-01,-2.1000E+00
7.6200E+01,5.0900E-01,-2.1000E+00
7.8100E+01,7.9800E-01,-2.0500E+00
8.0100E+01,1.0500E+00,-2.0100E+00
8.2000E+01,1.3100E+00,-1.9000E+00
8.4000E+01,1.5700E+00,-1.8000E+00
8.5900E+01,1.8300E+00,-1.6500E+00
8.7900E+01,2.0200E+00,-1.4900E+00
8.9800E+01,2.2400E+00,-1.2800E+00
9.1800E+01,2.4100E+00,-1.0500E+00
9.3800E+01,2.5400E+00,-8.0700E-01
9.5700E+01,2.6600E+00,-5.5300E-01
9.7700E+01,2.7600E+00,-2.6600E-01
9.9600E+01,2.8200E+00,1.1100E-02
1.0200E+02,2.8300E+00,2.9600E-01
1.0400E+02,2.8000E+00,6.0700E-01
1.0500E+02,2.7500E+00,9.3700E-01
1.0700E+02,2.6500E+00,1.2300E+00
1.0900E+02,2.5200E+00,1.5100E+00
1.1100E+02,2.3600E+00,1.7800E+00
1.1300E+02,2.1600E+00,2.0700E+00
1.1500E+02,1.9200E+00,2.3200E+00
1.1700E+02,1.6400E+00,2.5600E+00
1.1900E+02,1.3600E+00,2.7300E+00
1.2100E+02,1.0700E+00,2.9200E+00
1.2300E+02,6.6500E-01,3.0400E+00
1.2500E+02,3.2500E-01,3.1700E+00
1.2700E+02,-1.5800E-02,3.2400E+00
1.2900E+02,-4.4800E-01,3.2800E+00
1.3100E+02,-8.0800E-01,3.2800E+00
1.3300E+02,-1.1900E+00,3.2300E+00
1.3500E+02,-1.5500E+00,3.1200E+00
1.3700E+02,-1.9900E+00,3.0100E+00
1.3900E+02,-2.3800E+00,2.8300E+00
1.4100E+02,-2.6700E+00,2.6100E+00
1.4300E+02,-2.9900E+00,2.3600E+00
1.4500E+02,-3.3000E+00,2.0800E+00
1.4600E+02,-3.5900E+00,1.7000E+00
1.4800E+02,-3.7900E+00,1.3800E+00
1.5000E+02,-3.9900E+00,9.7400E-01
1.5200E+02,-4.1400E+00,5.7100E-01
1.5400E+02,-4.2300E+00,1.7900E-01
1.5600E+02,-4.2900E+00,-2.9200E-01
1.5800E+02,-4.2800E+00,-7.4500E-01
1.6000E+02,-4.2200E+00,-1.2100E+00
1.6200E+02,-4.1100E+00,-1.6700E+00
1.6400E+02,-3.9500E+00,-2.1600E+00
1.6600E+02,-3.8000E+00,-2.5400E+00
1.6800E+02,-3.5000E+00,-3.0100E+00
1.7000E+02,-3.2100E+00,-3.3800E+00
1.7200E+02,-2.8800E+00,-3.7500E+00
1.7400E+02,-2.4000E+00,-4.1300E+00
1.7600E+02,-1.9900E+00,-4.4300E+00
1.7800E+02,-1.4900E+00,-4.6800E+00
1.8000E+02,-1.0200E+00,-4.9100E+00
1.8200E+02,-4.3600E-01,-5.0700E+00
1.8400E+02,1.4100E-01,-5.1800E+00
1.8600E+02,6.9100E-01,-5.2200E+00
1.8800E+02,1.3100E+00,-5.1800E+00
1.8900E+02,1.9300E+00,-5.1000E+00
1.9100E+02,2.5200E+00,-5.0000E+00
1.9300E+02,3.0100E+00,-4.8300E+00
1.9500E+02,3.5600E+00,-4.5300E+00
1.9700E+02,4.1700E+00,-4.1700E+00
1.9900E+02,4.6400E+00,-3.7800E+00
2.0100E+02,5.1000E+00,-3.3800E+00
2.0300E+02,5.5400E+00,-2.8200E+00
2.0500E+02,5.9400E+00,-2.3400E+00
2.0700E+02,6.1600E+00,-1.7100E+00
2.0900E+02,6.4500E+00,-1.0400E+00
2.1100E+02,6.6500E+00,-4.0400E-01
2.1300E+02,6.7600E+00,2.8900E-01
2.1500E+02,6.8000E+00,8.7400E-01
2.1700E+02,6.7600E+00,1.7400E+00
2.1900E+02,6.7000E+00,2.3900E+00
2.2100E+02,6.4100E+00,3.1700E+00
2.2300E+02,6.1400E+00,4.0100E+00
2.2500E+02,5.7400E+00,4.6400E+00
2.2700E+02,5.3100E+00,5.1800E+00
2.2900E+02,4.8400E+00,5.8200E+00
2.3000E+02,4.2800E+00,6.4300E+00
2.3200E+02,3.5900E+00,6.9400E+00
2.3400E+02,3.0100E+00,7.4100E+00
2.3600E+02,2.1700E+00,7.8300E+00
2.3800E+02,1.2800E+00,8.0600E+00
2.4000E+02,4.3200E-01,8.3900E+00
2.4200E+02,-4.6800E-01,8.5500E+00
2.4400E+02,-1.4200E+00,8.5900E+00
2.4600E+02,-2.3800E+00,8.7000E+00
2.4800E+02,-3.2600E+00,8.4900E+00
2.5000E+02,-4.2200E+00,8.2600E+00
2.5200E+02,-5.2200E+00,7.9900E+00
2.5400E+02,-6.0700E+00,7.4300E+00
2.5600E+02,-7.0000E+00,6.9100E+00
2.5800E+02,-7.8200E+00,6.2800E+00
2.6000E+02,-8.4400E+00,5.7600E+00
2.6200E+02,-9.2200E+00,4.9100E+00
2.6400E+02,-9.8300E+00,3.9600E+00
2.6600E+02,-1.0300E+01,2.9400E+00
2.6800E+02,-1.0900E+01,2.0400E+00
2.7000E+02,-1.1500E+01,1.0800E+00
2.7100E+02,-1.1500E+01,-8.6800E-02
2.7300E+02,-1.1600E+01,-1.3000E+00
2.7500E+02,-1.1800E+01,-2.7000E+00
2.7700E+02,-1.1700E+01,-3.9300E+00
2.7900E+02,-1.1400E+01,-5.2700E+00
2.8100E+02,-1.1100E+01,-6.4200E+00
2.8300E+02,-1.0700E+01,-7.6500E+00
2.8500E+02,-1.0100E+01,-8.8300E+00
2.8700E+02,-9.1100E+00,-9.8300E+00
2.8900E+02,-8.0700E+00,-1.1000E+01
2.9100E+02,-7.1400E+00,-1.1900E+01
2.9300E+02,-6.1300E+00,-1.3100E+01
2.9500E+02,-4.7700E+00,-1.4000E+01
2.9700E+02,-3.5700E+00,-1.4500E+01
2.9900E+02,-2.1400E+00,-1.5100E+01
3.0100E+02,-4.7900E-01,-1.5800E+01
3.0300E+02,8.7400E-01,-1.6300E+01
3.0500E+02,2.4700E+00,-1.6600E+01
3.0700E+02,3.9500E+00,-1.6600E+01
3.0900E+02,5.5600E+00,-1.6300E+01
3.1100E+02,7.6300E+00,-1.5900E+01
3.1300E+02,8.8300E+00,-1.5600E+01
3.1400E+02,1.0400E+01,-1.4800E+01
3.1600E+02,1.2100E+01,-1.4300E+01
3.1800E+02,1.3800E+01,-1.3600E+01
3.2000E+02,1.5200E+01,-1.2000E+01
3.2200E+02,1.6800E+01,-1.0900E+01
3.2400E+02,1.8300E+01,-9.6100E+00
3.2600E+02,1.9400E+01,-7.9100E+00
3.2800E+02,2.0600E+01,-6.1500E+00
3.3000E+02,2.1200E+01,-4.2100E+00
3.3200E+02,2.1600E+01,-2.7400E+00
3.3400E+02,2.2500E+01,-1.0200E+00
3.3600E+02,2.3700E+01,1.0200E+00
3.3800E+02,2.4100E+01,2.7300E+00
3.4000E+02,2.3100E+01,5.2700E+00
3.4200E+02,2.3400E+01,8.4800E+00
3.4400E+02,2.3500E+01,1.0100E+01
3.4600E+02,2.2600E+01,1.2500E+01
3.4800E+02,2.1500E+01,1.4200E+01
3.5000E+02,2.1000E+01,1.6800E+01
3.5200E+02,2.0300E+01,1.8600E+01
3.5400E+02,1.8900E+01,2.0600E+01
3.5500E+02,1.7000E+01,2.2200E+01
3.5700E+02,1.5400E+01,2.4400E+01
3.5900E+02,1.2800E+01,2.6000E+01
3.6100E+02,1.0700E+01,2.7200E+01
3.6300E+02,9.6800E+00,2.9100E+01
3.6500E+02,7.6800E+00,2.9500E+01
3.6700E+02,5.1700E+00,2.9700E+01
3.6900E+02,3.3400E+00,3.1700E+01
3.7100E+02,1.2900E+00,3.2400E+01
3.7300E+02,-1.9300E+00,3.2700E+01
3.7500E+02,-5.5100E+00,3.2300E+01
3.7700E+02,-8.3700E+00,3.2500E+01
3.7900E+02,-1.0800E+01,3.2000E+01
3.8100E+02,-1.3900E+01,3.0300E+01
3.8300E+02,-1.7000E+01,3.1200E+01
3.8500E+02,-1.7600E+01,3.0600E+01
3.8700E+02,-1.9800E+01,2.7900E+01
3.8900E+02,-2.3100E+01,2.6800E+01
3.9100E+02,-2.6000E+01,2.5100E+01
3.9300E+02,-2.7500E+01,2.3100E+01
3.9500E+02,-2.9600E+01,2.1800E+01
3.9600E+02,-2.9800E+01,1.9800E+01
3.9800E+02,-3.2000E+01,1.7500E+01
4.0000E+02,-3.3200E+01,1.4500E+01
4.0200E+02,-3.4600E+01,1.1700E+01
4.0400E+02,-3.4200E+01,1.0200E+01
4.0600E+02,-3.4600E+01,8.1800E+00
4.0800E+02,-3.5200E+01,4.5600E+00
4.1000E+02,-3.4400E+01,1.5200E+00
4.1200E+02,-3.3500E+01,7.5500E-01
4.1400E+02,-3.4900E+01,-1.8900E+00
4.1600E+02,-3.6000E+01,-6.2800E+00
4.1800E+02,-3.4300E+01,-1.0000E+01
4.2000E+02,-3.4400E+01,-1.2300E+01
4.2200E+02,-3.3100E+01,-1.3000E+01
4.2400E+02,-3.1200E+01,-1.4600E+01
4.2600E+02,-2.8000E+01,-1.6700E+01
4.2800E+02,-2.6600E+01,-2.0500E+01
4.3000E+02,-2.4700E+01,-2.0300E+01
4.3200E+02,-2.2300E+01,-2.4000E+01
4.3400E+02,-1.9400E+01,-2.6800E+01
4.3600E+02,-1.5700E+01,-2.6700E+01
4.3800E+02,-1.3500E+01,-2.7700E+01
4.3900E+02,-1.2600E+01,-2.8400E+01
4.4100E+02,-1.1000E+01,-2.9600E+01
4.4300E+02,-9.8900E+00,-2.8300E+01
4.4500E+02,-1.0100E+01,-2.8300E+01
4.4700E+02,-7.0100E+00,-2.9400E+01
4.4900E+02,-2.7900E+00,-2.7500E+01
4.5100E+02,-1.6600E+00,-2.7600E+01
4.5300E+02,2.0500E+00,-2.7600E+01
4.5500E+02,3.5400E+00,-2.7500E+01
4.5700E+02,4.5900E+00,-2.7700E+01
4.5900E+02,4.9200E+00,-2.4000E+01
4.6100E+02,9.1000E+00,-2.3300E+01
4.6300E+02,9.4300E+00,-2.2900E+01
4.6500E+02,1.1600E+01,-2.3900E+01
4.6700E+02,1.3600E+01,-2.3600E+01
4.6900E+02,1.4500E+01,-2.0700E+01
4.7100E+02,1.5800E+01,-1.9100E+01
4.7300E+02,1.5400E+01,-1.7800E+01
4.7500E+02,1.5100E+01,-1.3500E+01
4.7700E+02,1.4700E+01,-1.2300E+01
4.7900E+02,1.7200E+01,-1.2600E+01
4.8000E+02,1.7100E+01,-1.5200E+01
4.8200E+02,1.7300E+01,-1.4500E+01
4.8400E+02,1.9200E+01,-8.1800E+00
4.8600E+02,2.0200E+01,-7.8500E+00
4.8800E+02,1.9600E+01,-6.3600E+00
4.9000E+02,2.0800E+01,-5.4700E+00
4.9200E+02,2.1500E+01,-5.9300E+00
4.9400E+02,2.0400E+01,-5.3400E+00
4.9600E+02,1.8800E+01,-5.4800E+00
4.9800E+02,1.9600E+01,-5.1200E+00
5.0000E+02,1.8800E+01,4.7300E-01
